auction_test
TEMP	EMBEDDING		GENERATOR	WEAK	STRONG	EMB	TIME
0.8	snowflake-arctic-embed	qwen2		0.0%	0.0%	50.0%	10.38
1.0	snowflake-arctic-embed	qwen2		0.0%	0.0%	50.0%	10.39
0.0	snowflake-arctic-embed	qwen2.5		50.0%	50.0%	50.0%	15.73
0.2	snowflake-arctic-embed	qwen2.5		50.0%	50.0%	50.0%	10.78
0.4	snowflake-arctic-embed	qwen2.5		50.0%	50.0%	50.0%	10.82
0.6	snowflake-arctic-embed	qwen2.5		0.0%	0.0%	50.0%	11.01
0.8	snowflake-arctic-embed	qwen2.5		50.0%	50.0%	50.0%	10.8
1.0	snowflake-arctic-embed	qwen2.5		50.0%	50.0%	50.0%	10.79
0.0	snowflake-arctic-embed	qwen2.5-coder	50.0%	50.0%	50.0%	15.69
0.2	snowflake-arctic-embed	qwen2.5-coder	50.0%	50.0%	50.0%	10.78
0.4	snowflake-arctic-embed	qwen2.5-coder	50.0%	50.0%	50.0%	10.8
0.6	snowflake-arctic-embed	qwen2.5-coder	50.0%	50.0%	50.0%	10.8
0.8	snowflake-arctic-embed	qwen2.5-coder	50.0%	50.0%	50.0%	10.79
1.0	snowflake-arctic-embed	qwen2.5-coder	0.0%	0.0%	50.0%	11.01
0.0	snowflake-arctic-embed	mistral		0.0%	0.0%	50.0%	14.57
0.2	snowflake-arctic-embed	mistral		0.0%	0.0%	50.0%	10.0
0.4	snowflake-arctic-embed	mistral		0.0%	0.0%	50.0%	10.21
0.6	snowflake-arctic-embed	mistral		50.0%	50.0%	50.0%	10.06
0.8	snowflake-arctic-embed	mistral		50.0%	50.0%	50.0%	10.14
1.0	snowflake-arctic-embed	mistral		50.0%	50.0%	50.0%	10.25
0.0	snowflake-arctic-embed	deepseek-coder-v2	0.0%	0.0%	50.0%	22.66
0.2	snowflake-arctic-embed	deepseek-coder-v2	0.0%	0.0%	50.0%	11.28
0.4	snowflake-arctic-embed	deepseek-coder-v2	0.0%	0.0%	50.0%	11.27
0.6	snowflake-arctic-embed	deepseek-coder-v2	0.0%	0.0%	50.0%	11.23
0.8	snowflake-arctic-embed	deepseek-coder-v2	0.0%	0.0%	50.0%	11.25
1.0	snowflake-arctic-embed	deepseek-coder-v2	0.0%	0.0%	50.0%	11.29
0.0	granite-embedding	gemma		0.0%	0.0%	50.0%	18.62
